verse	widx	form	lemma	root	etymology
11.51	3	dṛṣṭvā	√dṛś	√dṛś	or BV: yo janānām abhadram ardati sa – one who destroys inauspiciousness of people;
12.09	1	atha	atha		or av. – firmly, steadily;
12.13	3	maitraḥ	maitra		or from: su-√sthā and duḥ-√sthā);
12.18	2	śatrau	śatru	√śad	or from: su-√sthā and duḥ-√sthā);
13.00	15	jñeyam	jñeya	√jñā	or from: √śṝ – to break, to crush, śarīra – easy to be destroyed, the body);
13.03	1	tat	tat		or yad vikārīti – what changes;
13.05	10	ca	ca		or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
13.08	4	eva	eva		or av. – constantly, eternally (from: nitya – continual, eternal);
13.12	3	tat	tat		an-ādimant 2n.1 n. – that has no beginning (from: ādi – beginning, origin; -mant / -vant – suffix denoting one who possesses);
13.12	4	pravakṣyāmi	pra-√vac	√vac	para 1n.1 n. – beyond, ancient, final, the best, the supreme;
13.16	14	ca	ca		av. – later, next, future (from: para – beyond, ancient, final, the best, the supreme);
13.19	10	ca	ca		or DV: kāryatve ca kāraṇatve ca kartṛtve ceti – in effect, in cause and in being the cause;
13.19	15	prakṛti-saṁbhavān	prakṛti-saṁbhava	√kṛ	or from: su-√sthā and duḥ-√sthā);
13.22	1	upadraṣṭā	upa-draṣṭṛ	√dṛś	or param ātman – the ancient self;
13.26	4	sattvam	sattva	√as	or av. – similarly, equally;
13.27	6	vinaśyatsu	vi-naśyant	√naś	or av. – similarly, equally;
13.30	8	vistāram	vistāra	√stṛ	or param ātman – the ancient self;
13.34	5	bhūta-prakṛti-mokṣam	bhūta-prakṛti-mokṣa	√bhū	av. – later, next, future (from: para – beyond, ancient, final, the best, the supreme);
14.08	6	sarva-dehinām	sarva-dehin	√dih	or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
14.27	5	amṛtasya	a-mṛta	√mṛ	or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
15.07	6	sanātanaḥ	sanātana		or av. – yat = yadā – when;
15.16	14	akṣaraḥ	a-kṣara	√kṣar	or param ātman – the ancient self;
16.14	10	aham	asmat		or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
16.16	6	narake	naraka		or ye nāma-mātrena yajñāḥ taiḥ – with sacrifices in name only;
16.23	5	kāma-kārataḥ	kāma-kārataḥ	√kam	or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
18.01	4	mahābāho	mahā-bāhu	√mah	or TP: hṛṣīkāṇām / indriyāṇām īśa iti – lord of the senses (from: hṛṣīka – an organ of senses; √xīś – to own, to reign, īśa – ruler, lord);
18.04	3	me	asmat		or TP: puruṣāṇām vyāghreti – O tiger among men!;
18.20	7	avibhaktam	a-vi-bhakta	√bhāj	or av. (3n.1) – one by one, separately (from: √pṛth – to extend, pṛthak – separately, one by one);
18.22	8	a-tattva-artha-vat	a-tattva-artha-vat	√arth	or av. – constantly, decidedly;
18.35	10	vimuñcati	vi-√muc	√muc	or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
18.37	2	tat-agre	tat-agre		or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
18.38	3	tat-agre	tat-agre		or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
18.38	11	smṛtam	smṛta	√smṛ	or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
18.75	12	svayam	svayam		or ka – Brahmā; īśa – ruler, lord, Śiva; -va = -vant – owner, ka-īśa-va – the lord of Brahmā and Śiva; arjuna – white, clear, Arjuna);
