verse	form	lemma	gold_case_num_gender	class	kosha_analyses
4.29	prāṇāpāna-gatī	prāṇa-apāna-gati	acc/du/f	GAP	
4.29	prāṇāyāma-parāyaṇāḥ	prāṇa-āyāma-parāyaṇa	nom/pl/m	GAP	
4.30	yajña-kṣapita-kalmaṣāḥ	yajña-kṣapita-kalmaṣa	nom/pl/m	GAP	
4.31	yajña-śiṣṭāmṛta-bhujaḥ	yajña-śiṣṭa-amṛta-bhuk	nom/pl/m	GAP	
4.33	śreyān	śreyas	nom/sg/m	GAP	
4.36	pāpebhyaḥ	pāpa	gen/pl/m	DIVERGE	abl.pl.m;abl.pl.n;dat.pl.m;dat.pl.n
4.36	pāpa-kṛttamaḥ	pāpa-kṛttama	nom/sg/m	GAP	
4.36	jñāna-plavena	jñāna-plava	instr/sg/m	GAP	
4.38	yoga-saṁsiddhaḥ	yoga-saṁsiddha	nom/sg/m	GAP	
4.41	yoga-saṁnyasta-karmāṇam	yoga-saṁnyasta-karman	acc/sg/m	GAP	
4.41	jñāna-saṁchinna-saṁśayam	jñāna-saṁchinna-saṁśaya	acc/sg/m	GAP	
4.42	ajñāna-saṁbhūtam	ajñāna-saṁbhūta	acc/sg/m	GAP	
4.42	jñānāsinā	jñānāsi	instr/sg/m	GAP	
5.02	śrī-bhagavān	śrī-bhagavant	nom/sg/m	GAP	
5.02	karma-saṁnyāsāt	karma-saṁnyāsa	abl/sg/m	GAP	
5.07	sarva-bhūtātma-bhūtātmā	sarva-bhūta-ātma-bhūta-ātman	nom/sg/m	GAP	
5.07	kurvan	kurvant	nom/sg/m	GAP	
5.08	paśyan	paśyant	nom/sg/m	GAP	
5.08	śṛṇvan	śṛṇvant	nom/sg/m	GAP	
5.08	spṛśan	spṛśant	nom/sg/m	GAP	
5.08	jighran	jighrant	nom/sg/	GAP	
5.08	aśnan	aśnant	nom/sg/m	GAP	
5.08	gacchan	gacchant	nom/sg/m	GAP	
5.08	svapan	svapant	nom/sg/m	GAP	
5.08	śvasan	śvasant	nom/sg/m	GAP	
5.09	pralapan	pra-lapant	nom/sg/m	GAP	
5.09	visṛjan	visṛjant	nom/sg/m	GAP	
5.09	gṛhṇan	gṛhṇant	nom/sg/m	GAP	
5.09	unmiṣan	un-miṣant	nom/sg/m	GAP	
5.09	nimiṣan	ni-miṣant	nom/sg/m	GAP	
5.09	dhārayan	dhārayant	nom/sg/m	GAP	
5.10	padma-patram	padma-patra	nom/sg/n	GAP	
5.13	kurvan	kurvant	nom/sg/m	GAP	
5.13	kārayan	kārayant	nom/sg/m	GAP	
5.14	lokasya	loka	abl/sg/m	DIVERGE	gen.sg.m
5.14	karma-phala-saṁyogam	karma-phala-saṁyoga	acc/sg/m	GAP	
5.17	tad-buddhayaḥ	tad-buddhi	nom/pl/m	GAP	
5.17	tad-ātmānaḥ	tad-ātman	nom/pl/m	GAP	
5.17	tan-niṣṭhāḥ	tad-niṣṭha	nom/pl/m	GAP	
