rule	category	count	pct	examples
ḥ t → s t, ḥ h → r h	visarga	1	0.03	7.20 taiḥ taiḥ
m t → ṃ t, m n → ṃ n	anusvāra / nasal	1	0.03	7.20 tam tam
aḥ y → o y, aḥ y → o y	visarga	1	0.03	7.21 yaḥ yaḥ
m y → ṃ y, m t → ṃ t	anusvāra / nasal	1	0.03	7.21 yām yām
m y → ṃ y, m v → ṃ v	anusvāra / nasal	1	0.03	8.06 yam yam
ḥ l → Ø l	visarga	1	0.03	9.21 kāma-kāmāḥ
k v → g v	consonant / other	1	0.03	9.30 samyak
t ṛ → d ṛ	consonant / other	1	0.03	10.14 etat
t ū → d ū	consonant / other	1	0.03	10.41 śrīmat
k m → ṅ m	consonant / other	1	0.03	11.49 īdṛk
ḥ ū → Ø ū	visarga	1	0.03	12.08 ataḥ
i ī → ī	vowel coalescence	1	0.03	15.08 utkrāmati
au i → āv i	vowel coalescence	1	0.03	15.16 dvau
ḥ ī → Ø ī	visarga	1	0.03	15.17 avyayaḥ
t o → d o	consonant / other	1	0.03	17.24 tasmāt
ī i → ī	vowel coalescence	1	0.03	18.11 tyāgī
t a → d a, e a → e '	consonant / other	1	0.03	18.38 tat-agre
