card	lemma_slp1	group_id	status	shape	method	score	witnesses	flags	failure_class	pwg_sense_ids	pwg_gloss	mw_sense_ids	mw_gloss	apte_sense_ids	apte_gloss	md_sense_ids	md_gloss	skd_sense_ids	skd_gloss	vcp_sense_ids	vcp_gloss	note	stratum	stratum_eligible	population_share	synthetic
C033	suDA	suDA#9	aligned	1-0-0-0-1-0	attrib	0.500	skdr			pwg:110369:6	eine andere Species; Myrobalane							skd:39428:1	sudhā , strī, (sukhena dhīyate pīyate iti . dheṭa pāne + ātaścopasarge . 3 . 3 . 106 . ityaṅ . ṭāp .) amṛtam . ityamaraḥ . 1 . 1 . 51 .. (yathā, rāmāyaṇe . 2 . 61 . 13 . na paścātte'pi manyantesudhāmapi suropamāḥ .. lepanam . (yathā, māghe . 12 . 62 . senāsudhākṣālita…			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	mid 0.40-0.69|skd	32	0.004708	no
C034	SUla	SUla#1	aligned	1-0-0-0-1-0	attrib	0.500	skdr			pwg:100666:7	eines best.; eine Constellation, bei der alle Planeten in drei beliebigen Häusern stehen							skd:36200:1	śūla , rujāyām . iti kavikalpadrumaḥ .. (bhvā0- para0-saka0-seṭ .) dīrghī . śūlati lokaṃ rogaḥ . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	mid 0.40-0.69|skd	32	0.004708	no
C035	pari	pari#1	aligned	1-0-0-0-1-0	attrib	1.000	skdr			pwg:42634:22	der einen Abscheu vor dem Studium hat; dem das Studium zuwider ist							skd:20460:1	pari , vya, sarvvatobhāvaḥ . varjjanam . vyādhiḥ . śeṣaḥ . itthambhūtaḥ . ākhyānam . bhāgaḥ . vīpsā . āliṅganam . lakṣaṇam . doṣākhyānam . nira- sanam . pūjā . vyāptiḥ . bhūṣaṇam . iti medinī .. uparamaḥ . śokaḥ . iti hemacandraḥ .. santoṣa- bhāṣaṇam . iti śabdaratnāv…			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	hi >=0.70|skd	40	0.005885	no
C036	nawa	nawa#3	aligned	1-0-0-0-1-0	attrib	0.333	skdr			pwg:37457:6	nach _im_ = (als masc. !); nach dem = ; vgl. und e							skd:18219:1	naṭa , ka bhraṃśe . tviṣi . iti kavikalpadrumaḥ .. (curāṃ-paraṃ-akaṃ-seṭ .) bhraṃśo'dhaḥpatanam . spandanārtho'yamiti rāmaḥ . ka, nāṭayati . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	lo <0.40|skd	18	0.002648	no
C037	picCa	picCa#1	aligned	1-0-0-0-1-0	attrib	1.000	skdr			pwg:45086:13	= Dalbergia Sissoo Roxb. _im_							skd:21455:1	piccha , śa bādhe . iti kavikalpadrumaḥ .. (tudāṃ- paraṃ-sakaṃ-seṭ .) śa, picchatī picchantī . bādho vihitiḥ . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	hi >=0.70|skd	40	0.005885	no
C038	cala	cala#4	aligned	1-0-0-0-1-0	attrib	1.000	skdr			pwg:25047:9	Weihrauch							skd:12316:1	cala , ka bhṛtau . iti kavikalpadrumaḥ .. (curāṃ-paraṃ- sakaṃ-seṭ .) ka, cālayati . dantyavakārādi- rayamiti durgasiṃhajumaranandī . bhṛtiriha poṣa- ṇam . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	hi >=0.70|skd	40	0.005885	no
C039	taviza	taviza#3	aligned	0-1-1-0-0-0	gloss	0.500						mw:83621:1	n. power, strength (also pl. ), and	ap90:14528:7	3 Strength							shared literary witness, weighted 1/df within the lemma	mid 0.40-0.69|non-skd	3203	0.471237	no
C040	saha	saha#5	aligned	1-0-0-0-1-0	attrib	0.333	skdr			pwg:107465:1	1. (von 2. ) indecl. . gaṇa zu . = u. s. w. . . . . und . _im_							skd:38497:1	saha , vya, sahitam . tatparyyāyaḥ . sākam 2 sārddham 3 satram 4 samam 5 . ityamaraḥ . 3 . 4 . 4 .. sajuḥ 6 . iti jaṭādharaḥ .. (yathā, manuḥ . 10 . 61 . yatra tvete paridhvaṃsā jāyante varṇadūṣakāḥ . rāṣṭrikaḥ saha tadrāṣṭraṃ kṣiprameva vinaśyati .. ) sākalyam .…			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	lo <0.40|skd	18	0.002648	no
C041	puwa	puwa#3	aligned	1-0-0-0-1-0	attrib	0.333	skdr			pwg:45681:6	Muskatnuss							skd:21791:1	puṭa , t ka saṃsarge . iti kavikalpadrumaḥ .. (adanta- curāṃ-paraṃ-sakaṃ-seṭ .) puṭayati puṣpaṃ sūtreṇa janaḥ saṃsṛjatītyarthaḥ . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	lo <0.40|skd	18	0.002648	no
C042	tIkzRa	tIkzRa#12	aligned	0-1-1-0-0-0	gloss	0.500						mw:85394:1	sharp, keen	ap90:14710:9	8 Keen							shared literary witness, weighted 1/df within the lemma	mid 0.40-0.69|non-skd	3203	0.471237	no
