lemma_slp1	varga	eid	mw_sense_units	pwg_sense_units
sarvajYa	AK-1.1	60	5	1
DUrjawi	AK-1.1	60	2	1
nIlalohita	AK-1.1	60	4	1
hara	AK-1.1	60	13	1
smarahara	AK-1.1	60	1	1
Barga	AK-1.1	60	9	1
tryambaka	AK-1.1	60	7	1
tripurAntaka	AK-1.1	60	1	0
gaNgADara	AK-1.1	60	6	2
anDakaripu	AK-1.1	60	1	1
kratuDvaMsin	AK-1.1	60	1	2
vfzaDvaja	AK-1.1	60	6	2
vyomakeSa	AK-1.1	60	1	1
Bava	AK-1.1	60	20	2
BIma	AK-1.1	60	13	1
sTARu	AK-1.1	60	14	1
rudra	AK-1.1	60	15	1
umApati	AK-1.1	60	2	2
ahirbuDnya	AK-1.1	60	4	2
azwamUrti	AK-1.1	60	1	1
gajAri	AK-1.1	60	2	1
mahAnawa	AK-1.1	60	1	1
kaparda	AK-1.1	61	3	1
jawAjUwa	AK-1.1	61	1	2
pinAka	AK-1.1	62	4	2
ajagava	AK-1.1	62	3	1
pramaTa	AK-1.1	63	3	1
pArizada	AK-1.1	63	4	1
brAhmI	AK-1.1	64	14	1
mAheSvarI	AK-1.1	65	4	0
kOmArI	AK-1.1	66	3	0
vEzRavI	AK-1.1	67	7	0
vArAhI	AK-1.1	68	8	0
indrARI	AK-1.1	69	6	2
cAmuRqA	AK-1.1	70	4	2
mAtaraH	AK-1.1	71	0	0
viBUti	AK-1.1	72	18	1
BUti	AK-1.1	72	16	3
ESvarya	AK-1.1	72	3	2
aRiman	AK-1.1	73	4	3
mahiman	AK-1.1	74	7	1
gariman	AK-1.1	75	4	2
laGiman	AK-1.1	76	5	1
prApti	AK-1.1	77	17	2
prAkAmya	AK-1.1	78	2	1
ISitva	AK-1.1	79	1	2
vaSitva	AK-1.1	80	5	1
umA	AK-1.1	81	8	2
kAtyAyanI	AK-1.1	81	5	0
gOrI	AK-1.1	81	18	0
kAlI	AK-1.1	81	18	0
hEmavatI	AK-1.1	81	6	0
ISvarI	AK-1.1	81	0	0
SivA	AK-1.1	81	15	0
BavAnI	AK-1.1	81	3	1
rudrARI	AK-1.1	81	3	1
SarvARI	AK-1.1	81	1	1
sarvamaNgalA	AK-1.1	81	3	0
aparRA	AK-1.1	81	1	0
pArvatI	AK-1.1	81	12	0
durgA	AK-1.1	81	7	0
mfqAnI	AK-1.1	81	1	1
caRqikA	AK-1.1	81	5	2
ambikA	AK-1.1	81	11	2
AryA	AK-1.1	81	3	0
dAkzAyaRI	AK-1.1	81	2	0
girijA	AK-1.1	81	4	0
menakAtmajA	AK-1.1	81	1	1
karmamowI	AK-1.1	82	0	0
cAmuRqA	AK-1.1	82	4	2
carmamuRqA	AK-1.1	83	1	1
carcikA	AK-1.1	83	3	2
vinAyaka	AK-1.1	84	12	1
viGnarAja	AK-1.1	84	2	1
dvEmAtura	AK-1.1	84	3	2
gaRADipa	AK-1.1	84	4	1
ekadanta	AK-1.1	84	1	2
heramba	AK-1.1	84	4	1
lambodara	AK-1.1	84	5	1
gajAnana	AK-1.1	84	1	2
kArtikeya	AK-1.1	85	0	0
mahAsena	AK-1.1	85	6	2
Sarajanman	AK-1.1	85	1	1
zaqAnana	AK-1.1	85	3	2
pArvatInandana	AK-1.1	85	1	1
skanda	AK-1.1	85	10	1
senAnI	AK-1.1	85	6	1
agniBU	AK-1.1	85	3	2
guha	AK-1.1	85	7	2
bAhuleya	AK-1.1	85	2	1
tArakajit	AK-1.1	85	1	1
viSAKa	AK-1.1	85	17	1
SiKivAhana	AK-1.1	85	1	1
zARmAtura	AK-1.1	85	1	1
SaktiDara	AK-1.1	85	5	1
kumAra	AK-1.1	85	18	2
krOYcadAraRa	AK-1.1	85	1	0
SfNgin	AK-1.1	86	12	1
BfNgin	AK-1.1	86	3	1
riwi	AK-1.1	86	3	1
tuRqin	AK-1.1	86	1	0
nandika	AK-1.1	86	3	1
nandikeSvara	AK-1.1	86	2	2
