chain_id	step_index	source	sutra_code	step_result
ch0001173	14	Ashtadhyayi	3.4.113	sTA a TAs
ch0001173	15	Ashtadhyayi	3.4.80	sTA a se
ch0001173	16	Ashtadhyayi	3.4.91	sTA a sva
ch0001173	17	Ashtadhyayi	1.2.4	sTA a sva
ch0001173	18	Ashtadhyayi	1.4.13	sTA a sva
ch0001173	19	Ashtadhyayi	7.3.78	tizWa a sva
ch0001173	20	Ashtadhyayi	1.4.14	tizWa a sva
ch0001173	21	Ashtadhyayi	6.1.97	tizW a sva
ch0001173	22	Ashtadhyayi	8.4.68	tizW a sva
ch0001174	0	Ashtadhyayi	1.3.1	zWA\
ch0001174	1	Varttika	6.1.64.2	sTA
ch0001174	2	Ashtadhyayi	3.2.123	sTA la~w
ch0001174	3	Ashtadhyayi	1.3.2	sTA la~w
ch0001174	4	Ashtadhyayi	1.3.3	sTA la~w
ch0001174	5	Ashtadhyayi	1.3.9	sTA l
ch0001174	6	Ashtadhyayi	1.3.23	sTA l
ch0001174	7	Ashtadhyayi	3.4.78	sTA TAs
ch0001174	8	Ashtadhyayi	1.3.4	sTA TAs
ch0001174	9	Ashtadhyayi	3.4.113	sTA TAs
ch0001174	10	Ashtadhyayi	3.1.68	sTA Sap TAs
ch0001174	11	Ashtadhyayi	1.3.3	sTA Sap TAs
ch0001174	12	Ashtadhyayi	1.3.8	sTA Sap TAs
ch0001174	13	Ashtadhyayi	1.3.9	sTA a TAs
ch0001174	14	Ashtadhyayi	3.4.113	sTA a TAs
ch0001174	15	Ashtadhyayi	3.4.80	sTA a se
ch0001174	16	Ashtadhyayi	1.2.4	sTA a se
ch0001174	17	Ashtadhyayi	1.4.13	sTA a se
ch0001174	18	Ashtadhyayi	7.3.78	tizWa a se
ch0001174	19	Ashtadhyayi	1.4.14	tizWa a se
ch0001174	20	Ashtadhyayi	6.1.97	tizW a se
ch0001174	21	Ashtadhyayi	8.4.68	tizW a se
ch0001175	0	Ashtadhyayi	1.3.1	zWA\
ch0001175	1	Varttika	6.1.64.2	sTA
ch0001175	2	Ashtadhyayi	3.3.162	sTA lo~w
ch0001175	3	Ashtadhyayi	1.3.2	sTA lo~w
ch0001175	4	Ashtadhyayi	1.3.3	sTA lo~w
ch0001175	5	Ashtadhyayi	1.3.9	sTA l
ch0001175	6	Ashtadhyayi	1.3.23	sTA l
ch0001175	7	Ashtadhyayi	3.4.78	sTA Dvam
ch0001175	8	Ashtadhyayi	1.3.4	sTA Dvam
ch0001175	9	Ashtadhyayi	3.4.113	sTA Dvam
ch0001175	10	Ashtadhyayi	3.1.68	sTA Sap Dvam
ch0001175	11	Ashtadhyayi	1.3.3	sTA Sap Dvam
ch0001175	12	Ashtadhyayi	1.3.8	sTA Sap Dvam
ch0001175	13	Ashtadhyayi	1.3.9	sTA a Dvam
ch0001175	14	Ashtadhyayi	3.4.113	sTA a Dvam
ch0001175	15	Ashtadhyayi	3.4.79	sTA a Dve
ch0001175	16	Ashtadhyayi	3.4.91	sTA a Dvam
ch0001175	17	Ashtadhyayi	1.2.4	sTA a Dvam
ch0001175	18	Ashtadhyayi	1.4.13	sTA a Dvam
ch0001175	19	Ashtadhyayi	7.3.78	tizWa a Dvam
ch0001175	20	Ashtadhyayi	1.4.14	tizWa a Dvam
ch0001175	21	Ashtadhyayi	6.1.97	tizW a Dvam
ch0001175	22	Ashtadhyayi	8.4.68	tizW a Dvam
ch0001176	0	Ashtadhyayi	1.3.1	zWA\
ch0001176	1	Varttika	6.1.64.2	sTA
ch0001176	2	Ashtadhyayi	3.3.161	sTA li~N
ch0001176	3	Ashtadhyayi	1.3.2	sTA li~N
ch0001176	4	Ashtadhyayi	1.3.3	sTA li~N
ch0001176	5	Ashtadhyayi	1.3.9	sTA l
ch0001176	6	Ashtadhyayi	1.3.78	sTA l
ch0001176	7	Ashtadhyayi	3.4.78	sTA Ji
ch0001176	8	Ashtadhyayi	3.4.113	sTA Ji
ch0001176	9	Ashtadhyayi	3.1.68	sTA Sap Ji
ch0001176	10	Ashtadhyayi	1.3.3	sTA Sap Ji
ch0001176	11	Ashtadhyayi	1.3.8	sTA Sap Ji
ch0001176	12	Ashtadhyayi	1.3.9	sTA a Ji
ch0001176	13	Ashtadhyayi	3.4.113	sTA a Ji
ch0001176	14	Ashtadhyayi	1.2.4	sTA a Ji
ch0001176	15	Ashtadhyayi	3.4.108	sTA a jus
ch0001176	16	Ashtadhyayi	1.3.4	sTA a jus
ch0001176	17	Ashtadhyayi	1.3.7	sTA a jus
ch0001176	18	Ashtadhyayi	1.3.9	sTA a us
ch0001176	19	Ashtadhyayi	3.4.103	sTA a yAsu~w us
ch0001176	20	Ashtadhyayi	1.3.2	sTA a yAsu~w us
ch0001176	21	Ashtadhyayi	1.3.3	sTA a yAsu~w us
ch0001176	22	Ashtadhyayi	1.3.9	sTA a yAs us
ch0001176	23	Ashtadhyayi	1.4.13	sTA a yAs us
ch0001176	24	Ashtadhyayi	7.3.78	tizWa a yAs us
ch0001176	25	Ashtadhyayi	7.2.79	tizWa a yA us
ch0001176	26	Ashtadhyayi	7.2.80	tizWa a iy us
ch0001176	27	Ashtadhyayi	1.4.14	tizWa a iy us
ch0001176	28	Ashtadhyayi	6.1.97	tizW a iy us
ch0001176	29	Ashtadhyayi	6.1.87	tizW  ey us
ch0001176	30	Ashtadhyayi	8.2.66	tizW  ey uru~
ch0001176	31	Ashtadhyayi	1.3.2	tizW  ey ur
ch0001176	32	Ashtadhyayi	8.3.15	tizW  ey uH
ch0001177	0	Ashtadhyayi	1.3.1	zWA\
ch0001177	1	Varttika	6.1.64.2	sTA
ch0001177	2	Ashtadhyayi	3.2.111	sTA laN
ch0001177	3	Ashtadhyayi	1.3.3	sTA laN
ch0001177	4	Ashtadhyayi	1.3.9	sTA la
ch0001177	5	Ashtadhyayi	1.3.78	sTA la
ch0001177	6	Ashtadhyayi	3.4.78	sTA sip
ch0001177	7	Ashtadhyayi	1.3.3	sTA sip
ch0001177	8	Ashtadhyayi	1.3.9	sTA si
ch0001177	9	Ashtadhyayi	3.4.113	sTA si
ch0001177	10	Ashtadhyayi	3.1.68	sTA Sap si
ch0001177	11	Ashtadhyayi	1.3.3	sTA Sap si
ch0001177	12	Ashtadhyayi	1.3.8	sTA Sap si
ch0001177	13	Ashtadhyayi	1.3.9	sTA a si
ch0001177	14	Ashtadhyayi	3.4.113	sTA a si
ch0001177	15	Ashtadhyayi	3.4.100	sTA a s
ch0001177	16	Ashtadhyayi	1.4.13	sTA a s
ch0001177	17	Ashtadhyayi	7.3.78	tizWa a s
ch0001177	18	Ashtadhyayi	6.4.71	aw tizWa a s
ch0001177	19	Ashtadhyayi	1.3.3	aw tizWa a s
ch0001177	20	Ashtadhyayi	1.3.9	a tizWa a s
ch0001177	21	Ashtadhyayi	1.4.14	a tizWa a s
ch0001177	22	Ashtadhyayi	6.1.97	a tizW a s
ch0001177	23	Ashtadhyayi	8.2.66	a tizW a ru~
ch0001177	24	Ashtadhyayi	1.3.2	a tizW a r
ch0001177	25	Ashtadhyayi	8.3.15	a tizW a H
ch0001177	26	Ashtadhyayi	8.4.68	a tizW a H
ch0001178	0	Ashtadhyayi	1.3.1	zWA\
ch0001178	1	Varttika	6.1.64.2	sTA
ch0001178	2	Ashtadhyayi	3.2.111	sTA laN
ch0001178	3	Ashtadhyayi	1.3.3	sTA laN
ch0001178	4	Ashtadhyayi	1.3.9	sTA la
ch0001178	5	Ashtadhyayi	1.3.78	sTA la
