anchor_key_slp1	dcs_lemma_id	dcs_lemma_iast	tier	evidence_count
saMrI	222712	saṃri	relaxed	7
saMsiv	164808	saṃsīv	relaxed	14
saMskfti	219925	sāṃskṛti	relaxed	1
saMtF	164940	saṃtṛ	relaxed	49
saMvarRana	223170	saṃvarṇanā	relaxed	1
saMvatsarIRa	221946	samvatsarīṇa	relaxed	1
saMvijYA	176481	saṃvijña	relaxed	1
saMyAnI	224779	śamyāṇī	relaxed	1
saMyAnI	224868	saṃyāni	relaxed	1
saMyuta	219084	samyuta	relaxed	1
saNgara	210518	sāṅgara	relaxed	1
saSoka	199395	sāśoka	relaxed	1
sacala	201704	sācala	relaxed	1
sadApuzpa	163673	sadāpuṣpā	relaxed	3
safRa	169988	sārṇa	relaxed	2
sahaDArmika	220149	sahadharmika	relaxed	2
sahaSayyA	202114	sahaśayya	relaxed	1
sahaSayyA	202818	sahaśayya	relaxed	1
sahasraGni	217918	sahasraghnī	relaxed	1
sahodara	111309	sahodarā	relaxed	8
sajAya	225349	sajāyā	relaxed	1
sakapawa	199450	sakapāṭa	relaxed	1
sakzIra	205786	sakṣīrā	relaxed	1
salAvfkI	225269	śālāvṛkī	relaxed	1
samADinizWa	218282	samadhiniṣṭhā	relaxed	1
samAdiS	165194	samādis	relaxed	146
samAnAsa	169461	sāmanasa	relaxed	5
samApF	200185	samāpṛ	relaxed	11
samArTin	168267	samarthin	relaxed	1
samBAvitatama	211698	saṃbhāvitatama	relaxed	1
samBAvitatara	205101	saṃbhāvitatara	relaxed	1
samBUyasamutTAna	212629	saṃbhūyasamutthāna	relaxed	1
samBftatama	222917	saṃbhṛtatama	relaxed	3
samaDyAs	199191	samadhyas	relaxed	1
samaYj	225326	samāñj	relaxed	1
samadfS	168472	śamadṛś	relaxed	1
samagraH	171888	samāgrah	relaxed	3
samaram	211169	samāram	relaxed	1
samavakF	165141	samavakṛ	relaxed	30
samavakzip	212728	samavākṣip	relaxed	1
samavatF	211233	samavatṛ	relaxed	5
samaveDa	169898	samāvedha	relaxed	1
sambfMh	226214	saṃbṛṃh	relaxed	1
sammikz	221001	saṃmikṣ	relaxed	1
sampAtavat	30601	saṃpātavat	relaxed	65
sampaS	167081	saṃpaś	relaxed	117
sampac	176110	saṃpac	relaxed	3
sampalAy	165440	sampālay	relaxed	2
sampalAy	222858	saṃpalāy	relaxed	1
sampannatama	216852	saṃpannatama	relaxed	3
sampannatara	209510	saṃpannatara	relaxed	2
samparistf	223622	saṃparistṛ	relaxed	27
sampipAdayizA	215426	saṃpipādayiṣā	relaxed	1
samprArT	208327	saṃprārth	relaxed	1
samprItimat	209435	saṃprītimat	relaxed	1
sampraDAna	204880	saṃpradhana	relaxed	1
sampraDAv	170851	saṃpradhāv	relaxed	5
sampraDAv	225728	saṃpradhāv	relaxed	2
sampraDfz	201681	saṃpradhṛṣ	relaxed	1
sampraRaS	198916	saṃpraṇaś	relaxed	4
sampracyu	224227	saṃpracyu	relaxed	2
sampradIp	200102	saṃpradīp	relaxed	27
sampragF	222270	saṃpragṛ	relaxed	1
samprakAS	165451	samprakās	relaxed	16
samprakf	214597	saṃprakṛ	relaxed	12
sampramfd	211549	saṃpramṛd	relaxed	3
sampratap	202401	saṃpratap	relaxed	1
sampratibuD	172364	saṃpratibudh	relaxed	1
sampratipattimat	214531	saṃpratipattimat	relaxed	2
sampravf	224142	saṃpravṛ	relaxed	5
sampsA	222586	saṃpsā	relaxed	1
sampuwIkf	169990	saṃpuṭīkṛ	relaxed	10
samrAja	223495	saṃrāja	relaxed	1
samudBava	175626	samudbhavā	relaxed	1
samudralavaRa	207404	sāmudralavaṇa	relaxed	4
samupagama	172983	samupāgama	relaxed	1
samupaspfS	165384	samupaspṛs	relaxed	16
samupayuj	199112	samupāyuj	relaxed	1
samuttAraRa	174396	samuttaraṇa	relaxed	1
samuttF	165290	samuttṛ	relaxed	27
sandI	203643	ṣaṇḍī	relaxed	1
sapAtra	216399	sapatra	relaxed	1
sapatnIka	218300	sāpatnika	relaxed	1
sapiRqIkaraRa	208498	sapiṇdīkaraṇa	relaxed	1
saprasAda	199451	saprāsāda	relaxed	1
saptAhvA	168901	saptāhva	relaxed	11
saptaparRa	202773	sāptaparṇa	relaxed	1
saptapattra	205026	saptapattrā	relaxed	3
saraBaka	225772	śarabhaka	relaxed	1
saraNgaka	174577	sāraṅgaka	relaxed	2
sarjikA	205830	sarjīka	relaxed	1
sarpAy	166947	sarpay	relaxed	4
sarvANgasundara	173010	sarvāṅgasundarā	relaxed	1
sarvANgika	212549	sārvāṅgika	relaxed	1
sarvaBakzya	167478	sarvabhakṣyā	relaxed	1
sarvaDarmApravfttinirdeSa	220486	sarvadharmapravṛttinirdeśa	relaxed	1
