mandala	sukta	verse	pada_letter	pratika	match_status	elizarenkova_ref	rvlinks_anchor	pratika_verified_in_elizarenkova
1	33	10	d	nir jyotiṣā tamaso gā adukṣat	joined	samudra:01_rigveda.no_tags#33.10	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.033.html#rv01.033.10	y
1	33	11	a	anu svadhām akṣarann āpo asya	joined	samudra:01_rigveda.no_tags#33.11	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.033.html#rv01.033.11	y
1	33	11	b	avardhata madhya (MS. madhyā) ā nāvyānām	joined	samudra:01_rigveda.no_tags#33.11	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.033.html#rv01.033.11	y
1	33	11	c	sadhrīcīnena manasā tam indra	joined	samudra:01_rigveda.no_tags#33.11	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.033.html#rv01.033.11	y
1	33	11	d	ojiṣṭhena hanmanāhann abhi dyūn	joined	samudra:01_rigveda.no_tags#33.11	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.033.html#rv01.033.11	y
1	33	12	a	ny āvidhyad ilībiśasya dṛḍhā	joined	samudra:01_rigveda.no_tags#33.12	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.033.html#rv01.033.12	n
1	33	12	b	vi śṛṅgiṇam abhinac chuṣṇam indraḥ	joined	samudra:01_rigveda.no_tags#33.12	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.033.html#rv01.033.12	y
1	33	12	c	yāvat taro maghavan yāvad ojaḥ	joined	samudra:01_rigveda.no_tags#33.12	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.033.html#rv01.033.12	n
1	33	12	d	vajreṇa śatrum avadhīḥ pṛtanyum	joined	samudra:01_rigveda.no_tags#33.12	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.033.html#rv01.033.12	y
1	33	13	a	abhi sidhmo ajigād asya śatrūn	joined	samudra:01_rigveda.no_tags#33.13	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.033.html#rv01.033.13	y
