signature	count	share_pct
PRON|Ins Dual Masc	477	0.008385
VERB|Loc Plur Neut	477	0.008385
VERB|Cpd Past	465	0.008175
VERB|Sing p1 Past Opt	464	0.008157
PRON|Acc Dual	463	0.008139
VERB|Sing p1 Pres Sub	463	0.008139
VERB|Dual p3 Pres Imp	459	0.008069
NOUN|Ins Dual Fem	454	0.007981
VERB|Cpd Pres Pass	451	0.007928
ADJ|Acc Dual Neut	450	0.007911
VERB|Dual p3 Pres Opt	444	0.007805
VERB|Plur p1 Pres Imp	442	0.00777
VERB|Plur p3 Pres Jus	440	0.007735
NOUN|Dat Dual Masc	433	0.007612
VERB|Sing p1 Pres Imp	426	0.007489
NOUN|Loc Dual Neut	424	0.007454
PRON|Nom Dual	411	0.007225
NOUN|Loc Dual Fem	406	0.007137
VERB|Loc Sing Masc Pres Pass	405	0.00712
VERB|Plur p3 Impf Ind Pass	404	0.007102
VERB|Voc Sing Masc	403	0.007085
VERB|Nom Sing Fem Pres Pass	397	0.006979
PRON|Abl Sing	394	0.006926
VERB|Sing p2 Pres Sub	393	0.006909
VERB|Nom Dual Neut	388	0.006821
ADJ|Nom Sing	379	0.006663
PRON|Acc Dual Neut	377	0.006628
ADJ|Dat Sing Neut	372	0.00654
NUM|Acc Dual Masc	369	0.006487
NUM|Nom Dual Fem	365	0.006417
VERB|Gen Sing Masc Past	361	0.006346
VERB|Nom Sing Neut Pres Pass	359	0.006311
PRON|Loc Plur	354	0.006223
VERB|Sing p1 Past Jus	351	0.00617
VERB|Loc Plur Masc Pres	351	0.00617
ADJ|Acc Dual Fem	348	0.006118
PRON|Abl Plur	345	0.006065
VERB|Nom Sing Fem Past	341	0.005995
NUM|Gen Plur Neut	334	0.005872
PRON|Acc Dual Fem	331	0.005819
VERB|Sing p1 Past Prec	331	0.005819
VERB|Plur p1 Past Opt	328	0.005766
VERB|Gen Plur Neut	321	0.005643
VERB|Sing p2 Pres Ind Pass	316	0.005555
VERB|Acc Sing Neut Pres Pass	315	0.005538
VERB|Abl Sing Neut	309	0.005432
VERB|Dual p2 Past Imp	307	0.005397
VERB|Plur p1 Pres Sub	307	0.005397
VERB|Acc Sing Neut Pres	306	0.005379
NOUN|Acc Sing	305	0.005362
VERB|Loc Plur Fem	297	0.005221
NOUN|Abl Dual Masc	294	0.005168
VERB|Dat Sing Masc Past	294	0.005168
VERB|Gen Sing Fem	292	0.005133
VERB|Ins Plur Fem	292	0.005133
ADJ|Dat Sing Fem	289	0.005081
VERB|Plur p3 Past Jus	288	0.005063
NUM|Loc Plur Neut	287	0.005045
NUM|Ins Dual Fem	283	0.004975
VERB|Plur p2 Fut Ind	282	0.004957
NUM|Acc Dual Fem	274	0.004817
VERB|Acc Sing Neut Past	274	0.004817
NUM|Acc Dual Neut	272	0.004782
NOUN|Dat Plur Neut	268	0.004711
VERB|Sing p2 Past Sub	268	0.004711
NOUN|Nom Plur	266	0.004676
VERB|Nom Dual Fem	265	0.004659
VERB|Loc Sing Neut Pres Pass	255	0.004483
ADJ|Abl Plur Masc	251	0.004412
ADJ|Voc Dual Masc	251	0.004412
VERB|Loc Sing Masc Past	249	0.004377
NUM|Gen Sing Masc	247	0.004342
VERB|Gen Sing Masc Pres Pass	241	0.004237
VERB|Plur p1 Past Jus	240	0.004219
VERB|Voc Sing Fem	240	0.004219
VERB|Acc Plur Fem Pres	234	0.004114
NOUN|Nom Sing	233	0.004096
ADJ|Ins Dual Masc	231	0.004061
VERB|Plur p3 Pres Sub	227	0.003991
VERB|Plur p2 Past Imp	225	0.003955
PRON|Gen Dual Neut	223	0.00392
NUM|Gen Sing Neut	222	0.003903
VERB|Plur p3 Pres Imp Pass	221	0.003885
VERB|Plur p2 Past Ind	219	0.00385
NUM|Gen Dual Masc	214	0.003762
VERB|Gen Sing Fem Pres	212	0.003727
VERB|Plur p1 Impf Ind	207	0.003639
VERB|Acc Sing Fem Pres Pass	205	0.003604
VERB|Gen Dual Masc Pres	205	0.003604
VERB|Dual p2 Past Ind	203	0.003569
PRON|Dat Dual	201	0.003533
VERB|Dual p3 Pres Ind Pass	197	0.003463
NUM|Loc Sing Neut	191	0.003358
VERB|Gen Plur Fem	190	0.00334
VERB|Loc Sing Fem Pres	186	0.00327
PRON|Dat Plur Fem	185	0.003252
VERB|Sing p3 Past Opt	183	0.003217
NUM|Ins Dual Masc	182	0.003199
NOUN|Acc Plur	178	0.003129
VERB|Plur p2 Impf Ind	176	0.003094
VERB|Nom Plur Fem Past	176	0.003094
VERB|Sing p2 Pres Jus	175	0.003076
VERB|Dual p3 Fut Ind	170	0.002989
VERB|Gen Dual Masc	169	0.002971
VERB|Loc Sing Fem Pres Pass	164	0.002883
VERB|Voc Sing Masc Pres	163	0.002865
ADJ|Loc Dual Masc	162	0.002848
NUM|Cpd Neut	161	0.00283
PRON|Abl Plur Neut	160	0.002813
PRON|Ins Dual Neut	160	0.002813
VERB|Acc Sing Fem Past	160	0.002813
VERB|Ins Sing Neut Pres	160	0.002813
NOUN|Voc Sing Neut	154	0.002707
PRON|Dat Sing Neut	154	0.002707
NOUN|Loc Plur	153	0.00269
VERB|Sing p3 Fut Cond	153	0.00269
NUM|Loc Plur Fem	150	0.002637
VERB|Ins Sing Fem Pres	148	0.002602
VERB|Dual p1 Pres Ind	145	0.002549
VERB|Sing p3 Past Prec	145	0.002549
NOUN|Ins Plur	144	0.002531
VERB|Acc Dual Masc Pres	144	0.002531
VERB|Sing p3 Past Imp	143	0.002514
PRON|Abl Plur Fem	141	0.002479
VERB|Dat Sing Masc Pres Pass	141	0.002479
VERB|Gen Sing Neut Pres	141	0.002479
VERB|Cpd Fut	140	0.002461
NUM|Loc Sing Masc	139	0.002444
VERB|Acc Plur Masc Past	134	0.002356
PRON|Ins Dual Fem	133	0.002338
PRON|Abl Sing Fem	132	0.002321
PRON|Gen Dual Fem	132	0.002321
VERB|Loc Plur Masc Pres Pass	131	0.002303
VERB|Dual p2 Impf Ind	130	0.002285
VERB|Plur p1 Past Sub	127	0.002233
VERB|Nom Plur Neut Pres	126	0.002215
VERB|Nom Plur Masc Fut	125	0.002197
ADJ|Ins Dual Fem	124	0.00218
ADJ|Abl Sing Fem	123	0.002162
ADJ|Gen Dual Neut	121	0.002127
NOUN|Voc Dual Fem	121	0.002127
ADJ|Voc Plur Fem	119	0.002092
