surface	lemma_iast	upos	n_occ	n_refs	refs	headword_slp1	link_method	conf	sense_ids	card_href
caturdaśyām	caturdaśī	NOUN	2	2	Hitopadeśa, Hitop, 2, 111.10; Hitopadeśa, Hitop, 3, 102.23	caturdaSI	xref	0.99		../w/caturda_53_49.html
caturguṇā	caturguṇa	ADJ	2	2	Hitopadeśa, Hitop, 2, 119.13; Hitopadeśa, Hitop, 4, 9.6	caturguRa	xref	0.99		../w/caturgu_52a.html
caturvargaḥ	caturvarga	NOUN	2	2	Hitopadeśa, Hitop, 1, 9.1; Hitopadeśa, Hitop, 1, 9.2	caturvarga	xref	0.99		../w/caturvarga.html
catuṣṭayasya	catuṣṭaya	NOUN	2	2	Hitopadeśa, Hitop, 1, 188.4; Hitopadeśa, Hitop, 3, 102.14	catuzwaya	exact	0.95		../w/catuzwaya.html
cauraḥ	caura	NOUN	2	2	Hitopadeśa, Hitop, 2, 32.5; Hitopadeśa, Hitop, 2, 90.5	cOra	exact	0.95		../w/c_4fra.html
ceṣṭā	ceṣṭā	NOUN	2	2	Hitopadeśa, Hitop, 2, 20.7; Hitopadeśa, Hitop, 2, 31.10	cezwA	xref	0.99		../w/cezw_41.html
chedyaḥ	chid	VERB	2	2	Hitopadeśa, Hitop, 3, 109.5; Hitopadeśa, Hitop, 4, 43.1	Cid	xref	0.99		../w/_43id.html
chetsyāmi	chid	VERB	2	2	Hitopadeśa, Hitop, 1, 42.8; Hitopadeśa, Hitop, 1, 200.6	Cid	xref	0.99		../w/_43id.html
chidram	chidra	NOUN	2	2	Hitopadeśa, Hitop, 1, 82.3; Hitopadeśa, Hitop, 3, 61.4	Cidra	exact	0.95		../w/_43idra.html
chinatti	chid	VERB	2	2	Hitopadeśa, Hitop, 1, 105.3; Hitopadeśa, Hitop, 2, 84.4	Cid	xref	0.99		../w/_43id.html
chinddhi	chid	VERB	2	2	Hitopadeśa, Hitop, 1, 42.3; Hitopadeśa, Hitop, 1, 73.12	Cid	xref	0.99		../w/_43id.html
chinnā	chid	VERB	2	2	Hitopadeśa, Hitop, 2, 112.5; Hitopadeśa, Hitop, 2, 112.14	Cid	xref	0.99		../w/_43id.html
chāyām	chāyā	NOUN	2	2	Hitopadeśa, Hitop, 1, 59.6; Hitopadeśa, Hitop, 4, 77.1	CAyA	xref	0.99		../w/_43_41y_41.html
chāyāyām	chāyā	NOUN	2	2	Hitopadeśa, Hitop, 1, 186.2; Hitopadeśa, Hitop, 3, 102.34	CAyA	xref	0.99		../w/_43_41y_41.html
cihnāni	cihna	NOUN	2	2	Hitopadeśa, Hitop, 2, 60.2; Hitopadeśa, Hitop, 2, 61.3	cihna	xref	0.99		../w/cihna.html
cintayan	cintay	VERB	2	2	Hitopadeśa, Hitop, 1, 22.1; Hitopadeśa, Hitop, 4, 12.13		none			
cintām	cintā	NOUN	2	2	Hitopadeśa, Hitop, 4, 21.8; Hitopadeśa, Hitop, 4, 22.11	cintA	xref	0.99		../w/cint_41.html
cirāya	cira	ADJ	2	2	Hitopadeśa, Hitop, 2, 43.3; Hitopadeśa, Hitop, 2, 44.3	cira	exact	0.95		../w/cira.html
citragrīva	citragrīva	NOUN	2	2	Hitopadeśa, Hitop, 1, 5.3; Hitopadeśa, Hitop, 1, 115.2	citragrIva	xref	0.99		../w/citragr_49va.html
citrāṅgaḥ	citrāṅga	NOUN	2	2	Hitopadeśa, Hitop, 1, 184.9; Hitopadeśa, Hitop, 1, 200.3	citrANga	exact	0.95		../w/citr_41_4ega.html
cāraḥ	cāra	NOUN	2	2	Hitopadeśa, Hitop, 3, 36.7; Hitopadeśa, Hitop, 3, 38.1	cAra	xref	0.99		../w/c_41ra.html
cītkāra	cītkāra	NOUN	2	2	Hitopadeśa, Hitop, 2, 35.1; Hitopadeśa, Hitop, 3, 10.9	cItkAra	xref	0.99		../w/c_49tk_41ra.html
cūḍākarṇaḥ	cūḍākarṇa	NOUN	2	2	Hitopadeśa, Hitop, 1, 115.6; Hitopadeśa, Hitop, 1, 115.10	cUqAkarRa	xref	0.99		../w/c_55q_41kar_52a.html
cūḍākarṇena	cūḍākarṇa	NOUN	2	2	Hitopadeśa, Hitop, 1, 117.1; Hitopadeśa, Hitop, 1, 118.2	cUqAkarRa	xref	0.99		../w/c_55q_41kar_52a.html
dadau	dā	VERB	2	2	Hitopadeśa, Hitop, 3, 101.3; Hitopadeśa, Hitop, 3, 105.2	dA	exact	0.95	10|1a|1b|1c|1d|1e|1f|2a|2b|2c|2d|2e|2f|3|4|5|6|7|8|9	../w/d_41.html
dadhikarṇa	dadhikarṇa	NOUN	2	2	Hitopadeśa, Hitop, 2, 83.10; Hitopadeśa, Hitop, 2, 85.1	daDikarRa	xref	0.99		../w/da_44ikar_52a.html
dadāsi	dā	VERB	2	2	Hitopadeśa, Hitop, 1, 162.2; Hitopadeśa, Hitop, 2, 112.5	dA	exact	0.95	10|1a|1b|1c|1d|1e|1f|2a|2b|2c|2d|2e|2f|3|4|5|6|7|8|9	../w/d_41.html
dadātu	dā	VERB	2	2	Hitopadeśa, Hitop, 3, 69.4; Hitopadeśa, Hitop, 4, 27.5	dA	exact	0.95	10|1a|1b|1c|1d|1e|1f|2a|2b|2c|2d|2e|2f|3|4|5|6|7|8|9	../w/d_41.html
dagdhaḥ	dah	VERB	2	2	Hitopadeśa, Hitop, 2, 111.28; Hitopadeśa, Hitop, 4, 111.2	dah	xref	0.99		../w/dah.html
dahati	dah	VERB	2	2	Hitopadeśa, Hitop, 1, 81.2; Hitopadeśa, Hitop, 3, 61.5	dah	xref	0.99		../w/dah.html
dakṣiṇa	dakṣiṇa	ADJ	2	2	Hitopadeśa, Hitop, 1, 6.4; Hitopadeśa, Hitop, 2, 150.3	dakziRa	exact	0.95	1a|1b|1c|1d|1e|2|3|4|5a|5b|5c|5d|5e|5f|5g	../w/dakzi_52a.html
damanakaiḥ	damanaka	NOUN	2	2	Hitopadeśa, Hitop, 2, 20.6; Hitopadeśa, Hitop, 2, 80.1	damanaka	xref	0.99		../w/damanaka.html
dampatī	dampati	NOUN	2	2	Hitopadeśa, Hitop, 2, 121.3; Hitopadeśa, Hitop, 2, 150.3	dampati	xref	0.99		../w/dampati.html
dantasya	danta	NOUN	2	2	Hitopadeśa, Hitop, 2, 66.11; Hitopadeśa, Hitop, 2, 129.2	danta	xref	0.99		../w/danta.html
daridra	daridra	ADJ	2	2	Hitopadeśa, Hitop, 1, 51.3; Hitopadeśa, Hitop, 1, 121.3	daridra	exact	0.95		../w/daridra.html
daridraḥ	daridra	ADJ	2	2	Hitopadeśa, Hitop, 1, 179.1; Hitopadeśa, Hitop, 2, 91.3	daridra	exact	0.95		../w/daridra.html
darśanāt	darśana	NOUN	2	2	Hitopadeśa, Hitop, 1, 94.3; Hitopadeśa, Hitop, 2, 110.5	darSana	exact	0.95	1|2a|2b|2c|2d|2e|2f|2g|2h|2i|3	../w/dar_53ana.html
darśayanti	darśay	VERB	2	2	Hitopadeśa, Hitop, 2, 62.4; Hitopadeśa, Hitop, 2, 113.1		none			
darśayāmi	darśay	VERB	2	2	Hitopadeśa, Hitop, 1, 73.4; Hitopadeśa, Hitop, 3, 137.3		none			
darśitavan	darśay	VERB	2	2	Hitopadeśa, Hitop, 2, 124.9; Hitopadeśa, Hitop, 3, 15.5		none			
dattam	dā	VERB	2	2	Hitopadeśa, Hitop, 2, 90.12; Hitopadeśa, Hitop, 3, 102.18	dA	exact	0.95	10|1a|1b|1c|1d|1e|1f|2a|2b|2c|2d|2e|2f|3|4|5|6|7|8|9	../w/d_41.html
dattaḥ	dā	VERB	2	2	Hitopadeśa, Hitop, 1, 179.2; Hitopadeśa, Hitop, 2, 111.13	dA	exact	0.95	10|1a|1b|1c|1d|1e|1f|2a|2b|2c|2d|2e|2f|3|4|5|6|7|8|9	../w/d_41.html
daśa	daśan	NUM	2	2	Hitopadeśa, Hitop, 1, 21.2; Hitopadeśa, Hitop, 4, 22.6	daSan	xref	0.99		../w/da_53an.html
daṇḍanāyakena	daṇḍanāyaka	NOUN	2	2	Hitopadeśa, Hitop, 2, 115.3; Hitopadeśa, Hitop, 2, 119.3	daRqanAyaka	xref	0.99		../w/da_52qan_41yaka.html
dehena	deha	NOUN	2	2	Hitopadeśa, Hitop, 1, 188.4; Hitopadeśa, Hitop, 4, 66.4	deha	xref	0.99		../w/deha.html
devebhyaḥ	deva	NOUN	2	2	Hitopadeśa, Hitop, 3, 29.2; Hitopadeśa, Hitop, 3, 102.18	deva	xref	0.99	1|2a|3b|3c|3d|3e|3f|4|5|6|7|8a|8b|8c|9	../w/deva.html
devena	deva	NOUN	2	2	Hitopadeśa, Hitop, 1, 192.1; Hitopadeśa, Hitop, 2, 89.5	deva	xref	0.99	1|2a|3b|3c|3d|3e|3f|4|5|6|7|8a|8b|8c|9	../w/deva.html
devi	devī	NOUN	2	2	Hitopadeśa, Hitop, 3, 103.3; Hitopadeśa, Hitop, 3, 104.6	devI	xref	0.99		../w/dev_49.html
dhairyam	dhairya	NOUN	2	2	Hitopadeśa, Hitop, 1, 32.2; Hitopadeśa, Hitop, 1, 32.4	DErya	xref	0.99		../w/_44_45rya.html
dhanavān	dhanavat	ADJ	2	2	Hitopadeśa, Hitop, 1, 117.7; Hitopadeśa, Hitop, 1, 170.2	Danavat	xref	0.99		../w/_44anavat.html
dhanus	dhanus	NOUN	2	2	Hitopadeśa, Hitop, 0, 23.2; Hitopadeśa, Hitop, 1, 160.2	Danus	xref	0.99		../w/_44anus.html
dhanuṣkāṇḍam	dhanuṣkāṇḍa	NOUN	2	2	Hitopadeśa, Hitop, 3, 10.7; Hitopadeśa, Hitop, 3, 24.5	DanuzkARqa	xref	0.99		../w/_44anuzk_41_52qa.html
dhanuṣā	dhanus	NOUN	2	2	Hitopadeśa, Hitop, 1, 157.3; Hitopadeśa, Hitop, 1, 161.2	Danus	xref	0.99		../w/_44anus.html
dhanāt	dhana	NOUN	2	2	Hitopadeśa, Hitop, 0, 6.2; Hitopadeśa, Hitop, 1, 118.4	Dana	exact	0.95		../w/_44ana.html
dharmasya	dharma	NOUN	2	2	Hitopadeśa, Hitop, 1, 8.13; Hitopadeśa, Hitop, 2, 10.3	Darma	xref	0.99	10|11|1a|1b|2|3|4|5|6|7|8|9	../w/_44arma.html
dharme	dharma	NOUN	2	2	Hitopadeśa, Hitop, 1, 10.5; Hitopadeśa, Hitop, 1, 107.7	Darma	xref	0.99	10|11|1a|1b|2|3|4|5|6|7|8|9	../w/_44arma.html
dhatte	dhā	VERB	2	2	Hitopadeśa, Hitop, 0, 40.4; Hitopadeśa, Hitop, 2, 157.1	DA	exact	0.95	10|11|12|13|14|24|3|4|5|6|7|8|9	../w/_44_41.html
