dcs_id	dcs_lemma_iast	slp1	normkey	in_cdsl	token_count	grammar
212758	abhiniḥśvas	aBiniHSvas	aBiniHSvas	0	4	1.P.,2.P.,1.Ā.,2.Ā.
212778	aneya	aneya	aneya	1	4	adj
212804	dvīpaka	dvIpaka	dvIpaka	1	4	m
212916	dattoli	dattoli	dattoli	1	4	m
212954	jaṃ	jaM	jaM	0	4	ind
213085	kuṭṭ	kuww	kuww	1	4	6. P.
213122	ga	ga	ga	1	4	m
213176	śe	Se	Se	1	4	ind
213208	dhā	DA	DA	1	4	m
213213	dāp	dAp	dAp	0	4	m
213221	ḍati	qati	qati	0	4	mn
213241	akac	akac	akac	1	4	m
213244	tayap	tayap	tayap	0	4	m
213343	tyad	tyad	tyad	1	4	pron
213368	pūṅ	pUN	pUN	1	4	m
213392	svapi	svapi	svapi	0	4	m
213396	midi	midi	midi	1	4	m
213399	asvedin	asvedin	asvedin	1	4	adj
213401	āyūrekhā	AyUreKA	AyUreKA	0	4	f
213409	āvartaka	Avartaka	Avartaka	1	4	adj
213452	kram	kram	kram	1	4	m
213457	vad	vad	vad	1	4	m
213458	gṝ	gF	gF	1	4	m
213459	car	car	car	1	4	m
213485	sru	sru	sru	1	4	mf
213532	bandhu	banDu	banDu	1	4	n
213583	tuk	tuk	tuk	1	4	m
213627	brahmasadas	brahmasadas	brahmasadas	1	4	n
213636	kalpasundarī	kalpasundarI	kalpasundarI	1	4	f
213651	ūṭh	UW	UW	1	4	m
213654	ḍāc	qAc	qAc	0	4	m
213655	ṅasi	Nasi	Nasi	0	4	m
213666	citratara	citratara	citratara	0	4	adj
213685	thal	Tal	Tal	0	4	m
213686	tavai	tavE	tavE	0	4	ind
213754	cit	cit	cit	1	4	m
213765	tṛn	tfn	tfn	1	4	m
213773	śnam	Snam	Snam	1	4	m
213775	svañj	svaYj	svaYj	1	4	m
213791	kya	kya	kya	1	4	m
213811	śnu	Snu	Snu	1	4	m
213820	is	is	is	1	4	m
213863	vāstva	vAstva	vAstva	1	4	adj
213869	kuk	kuk	kuk	1	4	m
213890	syati	syati	syati	0	4	m
213913	suñ	suY	suY	0	4	m
213921	sah	sah	sah	1	4	m
214010	upāvas	upAvas	upAvas	0	4	1.P.,1.Ā.
214079	ahīnaka	ahInaka	ahInaka	1	4	m
214372	bhṛ	Bf	Bf	1	4	n
214403	vinirhan	vinirhan	vinirhan	0	4	2.Ā.,1.Ā.,2.P.,4.P.,1.P.,4.Ā.
214449	ghi	Gi	Gi	1	4	mn
214464	dhāri	DAri	DAri	1	4	m
214474	div	div	div	1	4	m
214543	at	at	at	1	4	m
214635	huhū	huhU	huhU	1	4	f
214652	śārvara	SArvara	SArvara	1	4	adj
214661	nirākāṅkṣin	nirAkANkzin	nirAkANkzin	1	4	adj
214704	pitarāmātarā	pitarAmAtarA	pitarAmAtarA	0	4	mf
214733	samudīṣ	samudIz	samudIz	1	4	1.Ā.,1.P.
214804	vidi	vidi	vidi	1	4	m
214816	kyac	kyac	kyac	0	4	m
214825	khal	Kal	Kal	1	4	m
214826	puṃska	puMska	puMska	1	4	n
214850	parivṛḍha	parivfQa	parivfQa	1	4	m
214956	leṭ	lew	lew	1	4	m
214962	duha	duha	duha	1	4	m
214965	śam	Sam	Sam	1	4	m
214979	os	os	os	0	4	m
214997	pṝ	pF	pF	0	4	m
214998	asyati	asyati	asyati	0	4	m
215009	dhmā	DmA	DmA	0	4	f
215023	kāñcanīkṛ	kAYcanIkf	kAYcanIkf	0	4	8.P.,8.Ā.
215050	pada	pada	pada	1	4	m
215053	daha	daha	daha	1	4	m
215086	lū	lU	lU	1	4	f
215182	nāradokti	nAradokti	nAradokti	0	4	f
215202	viṣṇuyāmala	vizRuyAmala	vizRuyAmala	1	4	n
215213	indhikā	inDikA	inDikA	0	4	f
215367	ṇvul	Rvul	Rvul	1	4	m
215389	śvas	Svas	Svas	1	4	m
215651	dhā	DA	DA	1	4	f
215690	phak	Pak	Pak	0	4	m
215691	phiñ	PiY	PiY	0	4	m
215699	chaṇ	CaR	CaR	0	4	m
215712	ghan	Gan	Gan	0	4	m
215735	viralībhū	viralIBU	viralIBU	0	4	1.P.,1.Ā.
215741	vaharī	vaharI	vaharI	0	4	f
215755	ṭhac	Wac	Wac	0	4	m
215778	mayaṭ	mayaw	mayaw	0	4	m
215784	eṇī	eRI	eRI	0	4	f
215786	sahabhū	sahaBU	sahaBU	0	4	f
215841	parovara	parovara	parovara	0	4	adj
215872	dvi	dvi	dvi	1	4	m
215917	iva	iva	iva	1	4	m
215958	sthitika	sTitika	sTitika	0	4	adj
215999	bhago	Bago	Bago	0	4	ind
216097	sauvarṇakuḍyaka	sOvarRakuqyaka	sOvarRakuqyaka	0	4	adj
216171	prātiveśmikā	prAtiveSmikA	prAtiveSmikA	0	4	f
216180	ahaṃpūrvaka	ahaMpUrvaka	ahampUrvaka	0	4	adj
216181	ṣaṭī	zawI	zawI	0	4	f
216183	nidrāy	nidrAy	nidrAy	0	4	Denom. P.
216193	dāmaka	dAmaka	dAmaka	0	4	n
216198	huṃkṛti	huMkfti	huNkfti	0	4	f
216416	abhyāsthā	aByAsTA	aByAsTA	0	4	1.P.,1.Ā.
216435	āṣkāra	AzkAra	AzkAra	0	4	m
216460	atisvāra	atisvAra	atisvAra	0	4	m
216461	aṣṭādaṃṣṭra	azwAdaMzwra	azwAdaMzwra	0	4	m
216469	ghṛtaścyut	GftaScyut	GftaScyut	0	4	adj
216519	śā	SA	SA	1	4	f
216531	rambhikā	ramBikA	ramBikA	0	4	f
216574	santikā	santikA	santikA	0	4	f
216575	svacchandā	svacCandA	svacCandA	0	4	f
216613	gaveṣ	gavez	gavez	0	4	Denom. P.
216653	aṅg	aNg	aNg	0	4	1. P.
216675	kandukāvatī	kandukAvatI	kandukAvatI	0	4	f
216677	āsandīvant	AsandIvant	AsandIvat	0	4	m
216738	kanakalekhā	kanakaleKA	kanakaleKA	0	4	f
216760	pāṇin	pARin	pARin	0	4	adj
216789	asmādṛśa	asmAdfSa	asmAdfSa	0	4	adj
216795	kaiśorya	kESorya	kESorya	0	4	m
216796	vidarbhīkauṇḍinya	vidarBIkORqinya	vidarBIkORqinya	0	4	m
216798	ekarṣi	ekarzi	ekarzi	0	4	m
216800	śasyā	SasyA	SasyA	0	4	f
216805	vigrāhay	vigrAhay	vigrAhay	0	4	10.P.,10.Ā.
216816	apabhraṃś	apaBraMS	apaBraMS	0	4	1.Ā.,4.P.,4.Ā.
216925	vinah	vinah	vinah	0	4	1.P.,4.P.,4.Ā.
217199	līlāy	lIlAy	lIlAy	0	4	Denom. P.
217232	pratyasana	pratyasana	pratyasana	0	4	n
217239	anargheya	anarGeya	anarGeya	0	4	adj
217338	avajan	avajan	avajan	0	4	4.P.,1.P.,1.Ā.,4.Ā.
217432	vivarha	vivarha	vivarha	0	4	m
217435	atigrah	atigrah	atigrah	0	4	9.P.,1.P.,6.P.,9.Ā.
217438	upamāsa	upamAsa	upamAsa	0	4	m
217441	sālajya	sAlajya	sAlajya	0	4	n
217487	anubhū	anuBU	anuBU	1	4	f
217526	samunmeṣa	samunmeza	samunmeza	0	4	m
217564	vyākṝ	vyAkF	vyAkF	0	4	6.Ā.,6.P.
217587	hrepay	hrepay	hrepay	0	4	10. P.
217638	smaray	smaray	smaray	0	4	10. P.
217780	nirgharṣa	nirGarza	nirGarza	0	4	m
217823	nirlū	nirlU	nirlU	0	4	9.P.,9.Ā.
217939	tanmayībhūti	tanmayIBUti	tanmayIBUti	0	4	f
217949	avacchid	avacCid	avacCid	0	4	f
217954	pronmiṣ	pronmiz	pronmiz	0	4	6.P.
217999	visisṛkṣā	visisfkzA	visisfkzA	0	4	f
218035	maheśin	maheSin	maheSin	0	4	m
218144	parameśitṛ	parameSitf	parameSitf	0	4	m
218272	arkapuṣpa	arkapuzpa	arkapuzpa	0	4	n
218321	naptrī	naptrI	naptrI	0	4	f
218344	samanā	samanA	samanA	0	4	f
218631	yamalārjuna	yamalArjuna	yamalArjuna	0	4	m
218697	apabhṛ	apaBf	apaBf	0	4	3.Ā.,1.P.,1.Ā.,3.P.
218705	saraṇyū	saraRyU	saraRyU	0	4	f
218721	śnathay	SnaTay	SnaTay	0	4	10. Ā.
218774	svapasy	svapasy	svapasy	0	4	Denom. Ā.
218784	duchunāy	duCunAy	ducCunAy	0	4	Denom. Ā.
218792	patheṣṭhā	paTezWA	paTezWA	0	4	adj
218844	pṛśana	pfSana	pfSana	0	4	adj
218860	jñā	jYA	jYA	1	4	adj
218901	panasy	panasy	panasy	0	4	Denom. Ā.
218909	satrāc	satrAc	satrAc	0	4	adj
218930	anudeyī	anudeyI	anudeyI	0	4	f
218936	irasy	irasy	irasy	0	4	Denom. P.
218942	titṛps	titfps	titfps	0	4	Denom. P.
218990	apakrānti	apakrAnti	apakrAnti	0	4	f
219012	pariṣṭhā	parizWA	parizWA	1	4	f
219013	madhyamaśī	maDyamaSI	maDyamaSI	0	4	adj
219028	kālānala	kAlAnala	kAlAnala	0	4	m
219167	purāṣah	purAzah	purAzah	0	4	adj
219182	purogavī	purogavI	purogavI	0	4	f
219257	vikramaśakti	vikramaSakti	vikramaSakti	0	4	m
219269	vidh	viD	viD	1	4	1. Ā.
219276	upahārīkṛ	upahArIkf	upahArIkf	0	4	8.P.,8.Ā.
219281	pipīṣ	pipIz	pipIz	0	4	Desid. P.
219304	kaya	kaya	kaya	0	4	pron
219306	jargur	jargur	jargur	0	4	Int. Ā.
219314	mārī	mArI	mArI	0	4	f
219333	rumaṇvatka	rumaRvatka	rumaRvatka	0	4	m
219342	pākatrā	pAkatrA	pAkatrA	0	4	ind
219351	saṃve	saMve	saMve	0	4	4.P.
219357	pajra	pajra	pajra	0	4	adj
219379	tuj	tuj	tuj	1	4	f
219389	ojāy	ojAy	ojAy	0	4	Denom. Ā.
219395	ubh	uB	uB	1	4	6. P.
219423	duṣṭarītu	duzwarItu	duzwarItu	0	4	adj
219443	dhanay	Danay	Danay	0	4	10. Ā.
