num	saying_id	difficulty	vocab	fusion	n_chunks	n_tokens	n_unanalyzable	pct_w1b	syllables	metre	metre_method	iast_head
6479	Saying 6479	0.5755	0.8341	0.28	18	25	8	0.294	68	śikhariṇī	vidyut-chandas	śucāṃ pātraṃ ghātrīpariṇatiramedhyapracayabhū-
6480	Saying 6480	0.5375	0.7579	0.2857	10	14	3	0.556	32	anuṣṭubh	syllable-heuristic	śucitā tyāgitā śauryaṃ samānasukhaduḥkhatā
6483	Saying 6483	0.4743	0.5977	0.3333	12	18	2	0.667	32	anuṣṭubh	syllable-heuristic	śuci bhūmeḥ sadā sthānaṃ yatra lepo na vidyate
6484	Saying 6484	0.4832	0.7602	0.1667	10	12	3	0.5	42	vaitālīyam	vidyut-chandas	śuci bhūṣayati śrutaṃ vapuḥ praśamastasya bhavatyalaṅkriyā
6485	Saying 6485	0.4759	0.8923	0.0	6	6	3	0.167	32	anuṣṭubh	syllable-heuristic	śuciśaṣpāṅkurāhāro vidūrakramaṇakṣamaḥ
6486	Saying 6486	0.4641	0.7764	0.1071	25	28	11	0.381	76	śārdulavikrīḍita	vidyut-chandas	śuṇṭhīgokhurayorvicārya manasā kalkāśanaṃ yanmayā
6487	Saying 6487	0.5358	0.7713	0.2667	11	15	3	0.571	30		unresolved	śunaḥ pucchamiva vuarthaṃ jīvitaṃ vidyayā vinā
6488	Saying 6488	0.3653	0.685	0.0	16	16	4	0.667	31		unresolved	śuni drṣṭe na pāṣāṇaḥ pāṣāṇe śvā na dṛśyate
6489	Saying 6489	0.6311	0.7716	0.4706	9	17	2	0.462	32	anuṣṭubh	syllable-heuristic	śubhaṃ vāpyaśubhaṃ karma phalakālamapekṣate
6490	Saying 6490	0.5495	0.773	0.2941	12	17	4	0.545	32	anuṣṭubh	syllable-heuristic	śubhaṃ vā yadi vā pāpaṃ yannṛṇāṃ hṛdi saṃsthitam
6491	Saying 6491	0.4659	0.7095	0.1875	13	16	2	0.667	32	anuṣṭubh	syllable-heuristic	śubhaṃ vā yadi vā pāpaṃ yo hi vākyamudīritam
6492	Saying 6492	0.5163	0.7622	0.2353	13	17	4	0.375	32	anuṣṭubh	syllable-heuristic	śubhaṃ vā yadi vā pāpaṃ dveṣyaṃ vā yadi vā priyam
6493	Saying 6493	0.452	0.6287	0.25	18	24	3	0.714	44		unresolved	śubhāśubhaṃ karma naro hi kṛtvā pratīkṣate tasya phalaṃ sma 
6494	Saying 6494	0.4852	0.7347	0.2	12	15	4	0.462	32	anuṣṭubh	syllable-heuristic	śubhena karmaṇā saukhyaṃ duḥkhaṃ pāpena karmaṇā
6495	Saying 6495	0.5399	0.7322	0.32	17	25	5	0.55	76	śārdulavikrīḍita	vidyut-chandas	śubhraṃ sadma savibhramā yuvatayaḥ śvetātapatrojjvalā
6496	Saying 6496	0.4776	0.6896	0.2353	13	17	2	0.583	30		unresolved	śuśrūṣāmeva kurvī hrtuḥ priyahite ratā
6497	Saying 6497	0.5709	0.8012	0.3077	9	13	3	0.286	32	upagīti	vidyut-chandas	śuṣkakāṣṭhaurbhavetkāryaṃ loṣṭhairapi ca pāṃsubhiḥ
6498	Saying 6498	0.4465	0.8372	0.0	12	12	5	0.364	32	anuṣṭubh	syllable-heuristic	śuṣkaṃ māṃsaṃ striyo vṛddhā bālārkastaruṇaṃ dadhi
6499	Saying 6499	0.493	0.837	0.1	9	10	3	0.429	32	anuṣṭubh	syllable-heuristic	śuṣkasya kīṭakhātasya vahnidagdhasya sarvataḥ
6500	Saying 6500	0.546	0.7322	0.3333	14	21	3	0.722	44	indravajrā	vidyut-chandas	śuṣkendhane vahnirupaiti vṛddhiṃ bāleṣu śokaścapaleṣu kopaḥ
6501	Saying 6501	0.5737	0.6382	0.5	10	20	1	0.846	32	anuṣṭubh	syllable-heuristic	śūdrīhastena yo bhukte māsamekaṃ nirantaram
6502	Saying 6502	0.4969	0.6692	0.3	14	20	2	0.6	29		unresolved	śūdre tu yadbhavellakṣma dvije tacca na vidyate
6503	Saying 6503	0.4875	0.586	0.375	10	16	3	0.667	33	upagīti	vidyut-chandas	śūdro 'pi ṣīlasaṃpanno guṛavānbrāhmaṇo bhavet
6504	Saying 6504	0.5382	0.7518	0.2941	12	17	1	0.6	32	anuṣṭubh	syllable-heuristic	śūdrovā yadi vānyo 'pi cāṇḍālo vā jaṭādharāḥ
6505	Saying 6505	0.5153	0.8829	0.0952	19	21	12	0.35	76	śārdulavikrīḍita	vidyut-chandas	śūnyaṃ vāsagṛhaṃ vilokya śayanādutthāya kiñcicchanai-
6506	Saying 6506	0.486	0.7862	0.1429	12	14	5	0.417	34	āryā	vidyut-chandas	śūnyamaputrasya gṛhaṃ ciraśūnyaṃ nāsti yasya sanmitram
6507	Saying 6507	0.6535	0.5837	0.7333	4	15	1	0.778	32	anuṣṭubh	syllable-heuristic	śūnyamāpūrṇatāmeti mṛtyurapyamṛtāyate
6508	Saying 6508	0.5344	0.7589	0.2778	13	18	4	0.5	56	vasantatilakā	vidyut-chandas	śūnyairgṛhaiḥ khalu samāḥ puruṣā daridrāḥ
6509	Saying 6509	0.4566	0.7589	0.1111	8	9	4	0.444	32	upagīti	vidyut-chandas	śūramañjalipātena bhīruṃ bhedena bhedayet
6510	Saying 6510	0.5519	0.6745	0.4118	10	17	2	0.6	32	anuṣṭubh	syllable-heuristic	śūrasya labhyaṃ śauryeṇa bhīrobhīrutayā yathā
6511	Saying 6511	0.5148	0.6472	0.3636	7	11	2	0.727	32	anuṣṭubh	syllable-heuristic	śūrasyorjitasattvasya siṃhavikrāntacāriṇaḥ
6512	Saying 6512	0.5348	0.7364	0.3043	16	23	3	0.571	44	indravajrā	vidyut-chandas	śūraḥ surūpaḥ subhagaśca vāgmī śastrāṇi śāstrāṇi vidāṃ karot
6513	Saying 6513	0.5899	0.7911	0.36	16	25	4	0.417	44		unresolved	śūrānmahāśūratamo hi ko vā manojabāṇairvyathito na yastu
6514	Saying 6514	0.4818	0.5206	0.4375	9	16	0	0.9	28		unresolved	śūrāśca kṛtavidyāśca rūpavatyaśca yāḥ striyaḥ
6515	Saying 6515	0.6513	0.758	0.5294	8	17	0	0.7	32	anuṣṭubh	syllable-heuristic	śūrāśca balavantaśca kṛtāstraśca raṇājire
6516	Saying 6516	0.5417	0.5781	0.5	8	16	1	0.778	32	anuṣṭubh	syllable-heuristic	śūrāśca matimantaśca vidyāvantaśca jantavaḥ
6517	Saying 6517	0.4322	0.5916	0.25	12	16	3	0.769	32	anuṣṭubh	syllable-heuristic	śūro 'si kṛtavidyo 'si daranīyo 'si putraka
6518	Saying 6518	0.6233	0.7624	0.4643	15	28	5	0.667	76	śārdulavikrīḍita	vidyut-chandas	śṛṅgāradrumanīrade prasṛmarakrīḍārasasrotasi
6519	Saying 6519	0.4823	0.773	0.15	17	20	6	0.385	60	malinī	vidyut-chandas	śṛṇu hṛdaya rahasyaṃ yanmunīnāṃ praśastaṃ
6520	Saying 6520	0.4608	0.6452	0.25	9	12	3	0.667	32	anuṣṭubh	syllable-heuristic	śete saha śayānena gacchantamanugacchati
6521	Saying 6521	0.5151	0.7157	0.2857	15	21	3	0.556	44		unresolved	śete sukhaṃ kastu samādhiniṣṭho jāgarti ko vā sadasadvivekī
6522	Saying 6522	0.5449	0.73	0.3333	26	39	11	0.464	73	śārdulavikrīḍita	vidyut-chandas	śaityaṃ nāma guṇastavaiva tadanu svābhāvikī svacchatā
6523	Saying 6523	0.5407	0.8296	0.2105	15	19	4	0.417	32	anuṣṭubh	syllable-heuristic	śaile śaile na māṇikyaṃ mauktikaṃ na gaje gaje
6524	Saying 6524	0.5326	0.8237	0.2	8	10	4	0.3	32	anuṣṭubh	syllable-heuristic	śaileṣu durgamārgeṣu vidheyaṃ nṛparakṣaṇam
6525	Saying 6525	0.4358	0.7199	0.1111	8	9	1	0.714	32	anuṣṭubh	syllable-heuristic	śokasthānasahasrāṇi bhayasthānaśatāni ca
6526	Saying 6526	0.4676	0.4829	0.45	11	20	0	1.0	32	anuṣṭubh	syllable-heuristic	śokānna dṛśyate prajñā śokādvṛddhirna dṛśyate
6527	Saying 6527	0.6167	0.8646	0.3333	6	9	3	0.429	32	anuṣṭubh	syllable-heuristic	śokārātibhayatrāṇaṃ prītiviśrambhabhājanam
6528	Saying 6528	0.4093	0.6946	0.0833	11	12	2	0.727	32	anuṣṭubh	syllable-heuristic	śokena rogā vardhante payasā vardhate tanuḥ
6529	Saying 6529	0.5484	0.706	0.3684	12	19	3	0.333	32	anuṣṭubh	syllable-heuristic	śoko nāśayati prajñāṃ śoko nāśayati śrutam
6530	Saying 6530	0.5565	0.6684	0.4286	12	21	2	0.467	32	upagīti	vidyut-chandas	śoko nāśayate dhairyaṃ śoko nāśayate śrutam
6531	Saying 6531	0.5366	0.7561	0.2857	10	14	4	0.545	32	anuṣṭubh	syllable-heuristic	śocatāṃ bāndhavānāṃ ye niḥśvasanto 'tiduḥkhitāḥ
6534	Saying 6534	0.498	0.642	0.3333	12	18	1	0.8	32	anuṣṭubh	syllable-heuristic	śocanti jāmayo yatra vinaśyatyāśu tatkulam
6535	Saying 6535	0.5134	0.7439	0.25	9	12	3	0.625	32	anuṣṭubh	syllable-heuristic	śocanto nanu sasnehā bāndhavāḥ suhṛdastathā
6536	Saying 6536	0.579	0.6968	0.4444	10	18	2	0.667	32	anuṣṭubh	syllable-heuristic	śobhate viduṣāṃ madhye naiva nirguṇamānasaḥ
6537	Saying 6537	0.4764	0.7682	0.1429	12	14	4	0.583	32	anuṣṭubh	syllable-heuristic	śebhate salile padmaṃ śobhate viyati dvijaḥ
6538	Saying 6538	0.571	0.7991	0.3103	20	29	8	0.45	76	śārdulavikrīḍita	vidyut-chandas	śaucācāravivarjitaḥ śava iva tyaktaḥ suhṛdbāndhavai-
6539	Saying 6539	0.6183	0.751	0.4667	8	15	2	0.455	32	anuṣṭubh	syllable-heuristic	śaucāvaśiṣṭayāpyasti kiñcitkāryaṃ kvacinmṛdā
6540	Saying 6540	0.5912	0.7682	0.3889	11	18	2	0.5	32	anuṣṭubh	syllable-heuristic	śaucena labhate vipraḥ kṣatriyo vikrameṇa tu
6541	Saying 6541	0.4637	0.6507	0.25	12	16	1	0.625	32	anuṣṭubh	syllable-heuristic	śauryeṇa vā tapobhirvā vidyayā vā dhanena vā
6542	Saying 6542	0.5385	0.6732	0.3846	16	26	6	0.667	67		unresolved	śyāmā tanvī śikharidānā pakvabimbadharoṣṭhī
